sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_261481,谢依纯,马国毕,"2011.09 . 21 明星 夫妻 合体 舞蹈 比赛 ( 上 ) 来宾 ： 沈玉琳 芽芽 , 黄镫辉 萁 萁 , 马国毕 谢依纯 , 艾力克斯 李咏娴 , Kimiko",明星 夫妻 合体 舞蹈 比赛   来宾  沈玉琳 芽芽  黄镫辉 萁 萁  人物二 人物一  艾力克斯 李咏娴,1
TRAIN_SENT_ID_262847,熊美玲,林秋离,No.15 不要 这样 对 我 好 吗 林秋离 熊美玲 金佩珊,不要 人物二 人物一 金佩珊,1
TRAIN_SENT_ID_252238,秦嘉,徐淑,○ 秦嘉 妻 徐淑 答诗 一首,○ 人物一 妻 人物二 答诗 一首,1
TRAIN_SENT_ID_257325,贾珍,尤氏,⒈ 贾珍 — — 尤氏 ： 茄官 、 银蝶 儿 、 万儿 、 来升 、 喜儿 、 寿儿 、 栓儿 。,⒈ 人物一   人物二  茄官  银蝶  万儿  来升  喜儿  寿儿  栓儿,1
TRAIN_SENT_ID_268559,潘金莲,武大郎,“ 潘金莲 ” 缘何 偏爱 “ 武大郎 ”,人物一  缘何 偏爱  人物二,1
TRAIN_SENT_ID_275949,夏东海,夏雨,谓 称 ： 叔叔 、 老夏 （ 通用 ） 、 夏东海 （ 刘梅 、 玛丽 用 ） 爸爸 、 爸 、 老爸 （ 夏雪 、 刘星 、 夏雨 用 ） 小哥 、 加 （ ga ） 菲猫 、 爸爸 （ 刘梅 用 ）,谓 称  叔叔  老夏  通用   人物一  刘梅  玛丽  爸爸  爸  老爸  夏雪  刘星  人物二  小哥  加    菲猫  爸爸  刘梅,-1
TRAIN_SENT_ID_272484,韦丛,元稹,韦夏卿 出于 什么 原因 同意 这门 亲事 ， 已然 无从 考证 了 ， 但 出身 高门 的 韦丛 并 不 势利 贪婪 ， 没有 嫌弃 元稹 。,韦夏卿 原因 同意 这门 亲事  已然 无从 考证  出身 高门 人物一 势利 贪婪  没有 嫌弃 人物二,1
TRAIN_SENT_ID_277251,王惠,郭德纲,就 这样 ， 王惠 接受 了 郭德纲 。,人物一 接受 人物二,1
TRAIN_SENT_ID_274269,贾敬,贾珍,大色空 十二 贾氏 : ： 贾敬 、 贾赦 、 贾政 、 贾宝玉 、 贾琏 、 贾珍 、 贾环 、 贾蓉 、 贾兰 、 贾芸 、 贾蔷 、 贾芹 。,大色空 十二 贾氏   人物一  贾赦  贾政  贾宝玉  贾琏  人物二  贾环  贾蓉  贾兰  贾芸  贾蔷  贾芹,-1
TRAIN_SENT_ID_259576,冯小刚,徐帆,除了 刘晓庆 、 文章 、 马伊琍 等 压轴 出场 ， 在 现场 看来 ， 可谓 平淡无味 ， 冯小刚 、 陈坤 、 周迅 、 徐帆 、 李冰冰 等 被提名者 均 缺席 。,刘晓庆  文章  马伊琍 压轴 出场  现场 看来  可谓 平淡无味  人物一  陈坤  周迅  人物二  李冰冰 被提名者 均 缺席,1
TRAIN_SENT_ID_271921,阎婆惜,宋江,卖俏行奸 词语 辨析 : 【 举例 造句 】 ： 这 阎婆惜 被 那 张三 小意儿 百依百随 ， 轻怜重惜 ， 卖俏迎奸 ， 引乱 这 婆娘 的 心 ， 如何 肯恋 宋江 ？,卖俏行奸 词语 辨析   举例 造句   人物一 张三 小意儿 百依百随  轻怜重惜  卖俏迎奸  引乱 婆娘 心  肯恋 人物二,1
TRAIN_SENT_ID_282506,钟灵,段正淳,万劫谷 （ 20 级 ） 木婉清 、 钟灵 、 段延庆 、 段誉 （ 段正淳 ）,万劫谷   级  木婉清  人物一  段延庆  段誉  人物二,-1
TRAIN_SENT_ID_263681,陈文琦,王雪红,王雪红 找到 陈文琦 ， 力邀 其 加入 。,人物二 找到 人物一  力邀 加入,1
TRAIN_SENT_ID_253515,祝彪,扈三娘,扈家庄 比武招亲 ， 扈三娘 与 祝家庄 祝彪 一见钟情 ， 定下 婚约 。,扈家庄 比武招亲  人物二 祝家庄 人物一 一见钟情  定下 婚约,1
TRAIN_SENT_ID_254350,金友庄,高凌风,20100414 来宾 ： 金友庄 、 高凌风,来宾  人物一  人物二,1
TRAIN_SENT_ID_277208,张茜,张卫健,《 逍遥 最好 》 是 张茜 的 一首 歌曲 ， 是 张卫健 主演 的 古装 电视剧 《 天下无双 》 （ 又名 ： 吉祥如意 ） 的 片尾曲 。,逍遥 最好  人物一 一首 歌曲  人物二 主演 古装 电视剧  天下无双   又名  吉祥如意  片尾曲,1
TRAIN_SENT_ID_278353,周韵,姜文,主演 ： 周韵 、 姜文 、 房祖名,主演  人物一  人物二  房祖名,1
TRAIN_SENT_ID_277370,樊姬,楚庄王,楚庄王 这才 明白 樊姬 的 良苦用心 ， 终于 痛改前非 ， 专心 朝政 。,人物二 这才 明白 人物一 良苦用心  终于 痛改前非  专心 朝政,1
TRAIN_SENT_ID_266517,严世蕃,严嵩,严嵩 孙 ， 严世蕃 次子 。,人物二 孙  人物一 次子,-1
TRAIN_SENT_ID_265709,贾环,贾政,两伙 势力 先后 攻占 大观园 ， 贾环 弑 杀 贾政 ， 宝玉 被 掠走 。,两伙 势力 先后 攻占 大观园  人物一 弑 杀 人物二  宝玉 掠走,-1
TRAIN_SENT_ID_285011,庄月明,李嘉诚,从此 ， 庄月明 就 成 了 李嘉诚 的 广东话 老师 。,人物一 成 人物二 广东话 老师,1
TRAIN_SENT_ID_257976,夏东海,刘梅,谓 称 ： 梅梅 （ 夏东海 用 ） 、 妈妈 、 妈 （ 刘星 、 夏雨 、 夏雪 用 ） 、 刘梅 、 阿姨 （ 通用 ）,谓 称  梅梅  人物一   妈妈  妈  刘星  夏雨  夏雪   人物二  阿姨  通用,1
TRAIN_SENT_ID_260520,严嵩,严世蕃,2 、 严嵩 被 罢 ， 严世蕃 等 人 下狱 。,人物一 罢  人物二 下狱,-1
TRAIN_SENT_ID_256153,蒋介石,宋美龄,宋美龄 与 蒋介石 闹别扭,人物二 人物一 闹别扭,1
TRAIN_SENT_ID_256270,孙尚香,刘备,吴侯 孙权 为了 夺取 被 刘备 占据 的 荆州 ， 以 孙尚香 为 钓饵 设 下 联姻 骗局 。,吴侯 孙权 夺取 人物二 占据 荆州  人物一 钓饵 设 联姻 骗局,1
TRAIN_SENT_ID_270175,蒋雯丽,顾长卫,另外 ， 黄磊 、 孙莉 ， 陈凯歌 、 陈红 ， 张国立 、 邓婕 ， 蒋雯丽 、 顾长卫 等 明星 家庭 都 有 可能 受邀 亮相 。,黄磊  孙莉  陈凯歌  陈红  张国立  邓婕  人物一  人物二 明星 家庭 可能 受邀 亮相,1
TRAIN_SENT_ID_256288,孙尚香,刘备,《 洞房 》 孙尚香 — — 李维康 、 刘备 — — 耿其昌 、 赵云 — — 王立军,洞房  人物一   李维康  人物二   耿其昌  赵云   王立军,1
TRAIN_SENT_ID_262913,熊美玲,林秋离,No.172 新 感情 旧 回忆 林秋离 熊美玲 蔡琴,新 感情 旧 回忆 人物二 人物一 蔡琴,1
TRAIN_SENT_ID_268583,潘金莲,武大郎,打虎 英雄 武松 因为 西门庆 勾结 大嫂 潘金莲 害死 大哥 武大郎 ， 因而 将 他们 杀死 ， 被判 充军 ， 也 被 逼上梁山 。,打虎 英雄 武松 西门庆 勾结 大嫂 人物一 害死 大哥 人物二  杀死  被判 充军  逼上梁山,1
TRAIN_SENT_ID_262299,汪精卫,陈璧君,汉奸 汪精卫 之妻 陈璧君,汉奸 人物一 之妻 人物二,1
TRAIN_SENT_ID_270204,蒋雯丽,顾长卫,* 《 吉祥 林 桂圆 膏 》 （ 蒋雯丽 篇 ） 导演 （ 总导演 ： 顾长卫 ）,吉祥 林 桂圆 膏   人物一 篇  导演  总导演  人物二,1
TRAIN_SENT_ID_268080,樊梨花,薛丁山,薛丁山 三气 樊梨花,人物二 三气 人物一,1
TRAIN_SENT_ID_258460,刘禅,刘备,荀彧 、 小乔 等 武将 可以 与 刘谌 有 特殊 的 刷牌 配合 ， 刘备 、 刘禅 则 可以 增加 刘谌 的 续航 能力 。,荀彧  小乔 武将 刘谌 特殊 刷牌 配合  人物二  人物一 增加 刘谌 续航 能力,-1
TRAIN_SENT_ID_262839,熊美玲,林秋离,电话 一挂 ， 林秋离 让 在 拖地 的 熊美玲 先 把 刘德华 的 歌 完成 了 。,电话 一挂  人物二 拖地 人物一 先 刘德华 歌 完成,1
TRAIN_SENT_ID_248950,王罕,桑昆,王罕 败 ， 其子 桑昆 奔川勒地 ， 无水 。,人物一 败  其子 人物二 奔川勒地  无水,-1
TRAIN_SENT_ID_273437,杨乐乐,汪涵,《 越 淘越 开心 》 主持人 ： 汪涵 ， 杨乐乐,越 淘越 开心  主持人  人物二  人物一,1
TRAIN_SENT_ID_281573,赵雅倩,赵鑫鑫,赵鑫鑫 赵雅倩,人物二 人物一,1
TRAIN_SENT_ID_273823,萧远山,萧峰,萧远山 全 没想到 抵御 ， 眼见 那老僧 的 右掌 正要 碰到 他 脑门 ， 那老僧 突然 大喝一声 ， 右掌 改向 萧峰 击去 。,人物一 全 没想到 抵御  眼见 那老僧 右掌 正要 碰到 脑门  那老僧 突然 大喝一声  右掌 改向 人物二 击去,-1
TRAIN_SENT_ID_256135,蒋介石,宋美龄,四 、 蒋介石 与 宋美龄 婚前 交往 信函 和 结缡 文书,四  人物一 人物二 婚前 交往 信函 结缡 文书,1
TRAIN_SENT_ID_249856,张无忌,赵敏,而 张无忌 在 朱元璋 的 逼迫 下则 放弃 了 教主 的 位子 ， 和 赵敏 浪迹天涯 。,人物一 朱元璋 逼迫 下则 放弃 教主 位子  人物二 浪迹天涯,1
TRAIN_SENT_ID_262746,熊美玲,林秋离,No.143 痛彻 心扉 林秋离 熊美玲 何家劲,痛彻 心扉 人物二 人物一 何家劲,1
TRAIN_SENT_ID_275596,闵柔,石清,梅芳姑 厉声 问 ， 既然如此 ， 为什么 石清 偏 跟 闵柔 好 ， 而 不 喜欢 她 ？,梅芳姑 厉声 问  既然如此  人物二 偏 人物一  喜欢,1
TRAIN_SENT_ID_260507,严嵩,严世蕃,严嵩 只好 派 人 飞马 向 严世蕃 求教 。,人物一 只好 派 飞马 人物二 求教,-1
TRAIN_SENT_ID_273282,秦香莲,陈世美,秦香莲 告到 包府 ， 包文正 铁面无私 ， 公正 断案 ， 铡 死 陈世美 。,人物一 告到 包府  包文正 铁面无私  公正 断案  铡 死 人物二,1
TRAIN_SENT_ID_279241,长孙无极,孟扶摇,只是 那 刹那 一 触 ， 孟扶摇 颤 了 颤 ， 长孙无极 已 含笑 捧 着 她 的 脸 ， 细细 端详 那 一对 耳环 ， 道 ： “ 这才 是 最 适合 你 的 颜色 和 花样 。 ”,刹那 触  人物二 颤 颤  人物一 含笑 捧 脸  细细 端详 一对 耳环  道   这才 适合 颜色 花样,1
TRAIN_SENT_ID_265637,袁泉,夏雨,“ 明星 恋人 ” 夏雨 与 袁泉 精心 打造 上海 版 《 乱世佳人 》 ！,明星 恋人  人物二 人物一 精心 打造 上海 版  乱世佳人,1
TRAIN_SENT_ID_271177,李治,唐太宗李世民,唐太宗李世民 之弟 ， 唐高宗 李治 之叔 ， 其母 为 柳 宝林 。,人物二 之弟  唐高宗 人物一 之叔  其母 柳 宝林,-1
TRAIN_SENT_ID_256089,蒋介石,宋美龄,二 、 蒋介石 向 宋美龄 求婚 的 历程,二  人物一 人物二 求婚 历程,1
TRAIN_SENT_ID_251749,顾倩兮,卢云,没有 被 推倒 ， 肯定 也 不是 为了 卢云 ， 只是 人家 顾倩兮 不 高兴 。,没有 推倒  肯定 人物二  人物一 高兴,1
TRAIN_SENT_ID_258495,刘禅,刘备,刘璩 ， 又名 刘虔 ， 刘备 之孙 ， 蜀汉 后主 刘禅 的 第七 子 。,刘璩  又名 刘虔  人物二 之孙  蜀汉 后主 人物一 第七 子,-1
TRAIN_SENT_ID_259150,刘备,刘禅,丞相 诸葛亮 承 先帝 刘备 遗愿 辅佐 少主 刘禅 治理 蜀国 。,丞相 诸葛亮 承 先帝 人物一 遗愿 辅佐 少主 人物二 治理 蜀国,-1
TRAIN_SENT_ID_276088,陈三立,陈宝箴,石柱 分别 雕刻 陈宝箴 、 陈三立 、 陈衡 恪 、 陈寅恪 、 陈封怀 等 义宁 五杰 人物 事迹 ， 广场 为 纪念 五杰 乡贤 所 作 突出贡献 而建 。,石柱 雕刻 人物二  人物一  陈衡 恪  陈寅恪  陈封怀 义宁 五杰 人物 事迹  广场 纪念 五杰 乡贤 作 突出贡献 而建,-1
TRAIN_SENT_ID_263779,秦始皇,赵姬,赵姬 — — 秦始皇,人物二   人物一,-1
TRAIN_SENT_ID_257749,桓雄,桓因,桓因 → 桓雄 → 檀君,人物二 → 人物一 → 檀君,-1
TRAIN_SENT_ID_264603,纪晓芙,杨不悔,电视剧 配音 : 1994 : （ 倚天 屠龙记 ） 纪晓芙 、 杨不悔 1995 : （ 同一 屋檐下 / 同一 屋檐下 II ） 柏木 小梅,电视剧 配音     倚天 屠龙记  人物一  人物二    同一 屋檐下  同一 屋檐下   柏木 小梅,-1
TRAIN_SENT_ID_260272,穆桂英,杨宗保,"相传 北宋 名将 杨宗保 , 穆桂英 的 儿女 杨文广 、 杨金花 曾 在 此 平定 南蛮 第十八 洞 而 得名 。",相传 北宋 名将 人物二  人物一 儿女 杨文广  杨金花 平定 南蛮 第十八 洞 得名,1
TRAIN_SENT_ID_279633,窦仙童,薛丁山,这里 插入 一段 ， 窦仙童 在 山上 ， 再次 向 已 成为 俘虏 的 薛丁山 提亲 。,插入 一段  人物一 山上  再次 成为 俘虏 人物二 提亲,1
TRAIN_SENT_ID_271313,何泽慧,钱三强,由于 专业 基础理论 扎实 ， 又 善于 钻研 ， 被 爱才若渴 的 钱三强 、 何泽慧 等 老 专家 视为 难得 的 “ 好 苗子 ” 加以 重点 培养 。,专业 基础理论 扎实  善于 钻研  爱才若渴 人物二  人物一 老 专家 视为 难得  苗子  重点 培养,1
TRAIN_SENT_ID_276388,秦始皇,秦庄襄王,秦始皇 先祖 已 确知 葬 在芷阳 的 有 秦昭襄 王 、 秦庄襄王 和 秦 宣太后 。,人物一 先祖 确知 葬 在芷阳 秦昭襄 王  人物二 秦 宣太后,-1
TRAIN_SENT_ID_250039,张无忌,赵敏,张无忌 为什么 选择 了 赵敏,人物一 选择 人物二,1
TRAIN_SENT_ID_259076,刘备,刘禅,3 曾效力 过 的 势力 : 益州 刘璋 、 蜀汉 刘备 、 刘禅,曾效力 势力  益州 刘璋  蜀汉 人物一  人物二,-1
TRAIN_SENT_ID_278910,汪涵,杨乐乐,被 流产 传闻 困扰 的 汪涵 爱妻 杨乐乐 有 一段 都 比较 沉寂 ， 在 湖南卫视 七夕 之夜 这台 话剧 里 ， 她 可是 重挑大任 。,流产 传闻 困扰 人物一 爱妻 人物二 一段 比较 沉寂  湖南卫视 七夕 之夜 这台 话剧 里  重挑大任,1
TRAIN_SENT_ID_278579,岳灵珊,岳不群,岳灵珊 （ 师姐 ） 仇敌 : 余沧海 / 青城派 ， 木高峰 ， 岳不群 盟友 : 左冷禅,人物一  师姐  仇敌  余沧海  青城派  木高峰  人物二 盟友  左冷禅,-1
TRAIN_SENT_ID_276081,陈三立,陈宝箴,陈宝箴 孙 ， 陈三立 ( 陈散原 ) 长子 ， 陈寅恪 之兄 。,人物二 孙  人物一  陈散原  长子  陈寅恪 之兄,-1
TRAIN_SENT_ID_286682,杨雨婷,房子斌,演员 ： 王志刚 、 房子斌 、 李峰 、 杨雨婷 、 李峰,演员  王志刚  人物二  李峰  人物一  李峰,1
TRAIN_SENT_ID_273344,秦香莲,陈世美,圣旨 竟是 代 陈世美 脱罪 ， 命 秦香莲 即将 驸马 送回 宫去 。,圣旨 竟是 代 人物二 脱罪  命 人物一 即将 驸马 送回 宫去,1
TRAIN_SENT_ID_268329,秦始皇,扶苏,扶苏 ， 秦始皇 长子 ( ？,人物二  人物一 长子,-1
TRAIN_SENT_ID_269193,陆雪琪,张小凡,凡琪 指 的 是 《 诛仙 》 女 主人公 陆雪琪 和 《 诛仙 》 男 主人公 张小凡 的 配对 简称 ， 也 称 凡 雪 。,凡琪 指  诛仙  女 主人公 人物一  诛仙  男 主人公 人物二 配对 简称  称 雪,1
TRAIN_SENT_ID_257305,贾珍,尤氏,抄家 之后 ， 贾珍 、 尤氏 、 邢岫烟 、 贾赦 、 邢德全 被 发配 。,抄家 之后  人物一  人物二  邢岫烟  贾赦  邢德全 发配,1
TRAIN_SENT_ID_251364,李安琪,李小鹏,2 、 李小鹏 李安琪,人物二 人物一,1
TRAIN_SENT_ID_272119,张翠山,殷素素,张翠山 殷素素 未死,人物一 人物二 未死,1
TRAIN_SENT_ID_285027,庄月明,李嘉诚,港人 都 知道 李嘉诚 和 庄月明 情深似海 ， 所以 至今 竟 无人 向 他 提及 续弦 之 事 。,港人 知道 人物二 人物一 情深似海  竟 无人 提及 续弦 事,1
TRAIN_SENT_ID_252359,江别鹤,江玉郎,这时 江别鹤 走 了 进来 问 江玉郎 事情 办得 如何 ～ ？,人物一 走 进来 问 人物二 事情 办得,-1
TRAIN_SENT_ID_248889,窦滔,苏蕙,“ 璇玑 图 ” 织好 后 ， 苏蕙 派 人 送往 襄阳 交给 窦滔 。,璇玑 图  织好  人物二 派 送往 襄阳 交给 人物一,1
TRAIN_SENT_ID_253532,施南生,徐克,【 策划 】 ： 徐克 施南生,策划   人物二 人物一,1
TRAIN_SENT_ID_273074,杨铁心,包惜弱,为了 不 使 众人 遭难 ， 杨铁心 、 包惜弱 自杀 而 死 。,众人 遭难  人物一  人物二 自杀 死,1
TRAIN_SENT_ID_262078,红邵可,红秀丽,】 红邵可 、 红秀丽 、 蔷薇 姬,人物一  人物二  蔷薇 姬,-1
TRAIN_SENT_ID_275635,段成式,段文昌,"段氏 : 段志玄 、 段文昌 、 段成式 、 段安节 , 临淄 人 , 分别 为 战将 、 宰相 、 诗人 、 音乐家 。",段氏  段志玄  人物二  人物一  段安节  临淄  战将  宰相  诗人  音乐家,-1
TRAIN_SENT_ID_259100,刘备,刘禅,刘备 死 ， 亮辅 后主 刘禅 ， 以 丞相 封 武乡侯 ， 谥 为 忠 武侯 。,人物一 死  亮辅 后主 人物二  丞相 封 武乡侯  谥 忠 武侯,-1
TRAIN_SENT_ID_261928,安雯,苏越,刚 结婚 的 时候 ， 苏越 和 安雯 之间 的 摩擦 不断 ， 他们 冷战 起来 能 两三个 星期 互相 不 搭理 。,刚 结婚  人物二 人物一 之间 摩擦 不断  冷战 起来 两三个 星期 互相 搭理,1
TRAIN_SENT_ID_271578,毛岸青,毛泽东,第七章 呵护 有加 又 痛 又 爱 — — 毛泽东 和 毛岸青,第七章 呵护 有加 痛 爱   人物二 人物一,-1
TRAIN_SENT_ID_262945,熊美玲,林秋离,No.84 姐妹 （ 台语 ） 林秋离 熊美玲 蔡幸娟,姐妹  台语  人物二 人物一 蔡幸娟,1
TRAIN_SENT_ID_281438,曾雅兰,侯昌明,【 PowerSunday 】 20090419 黄国伦 赵虹 乔 nono 陈志强 曾雅兰 侯允泽 侯昌明 任贤 齐 蝴蝶 姐姐,黄国伦 赵虹 乔  陈志强 人物一 侯允泽 人物二 任贤 齐 蝴蝶 姐姐,1
TRAIN_SENT_ID_283431,张月亮,张铁林,（ 第三名 ） 张铁林 张月亮,第三名  人物二 人物一,-1
TRAIN_SENT_ID_282126,王菁,何炅,最好 的 朋友 ： 何炅 、 龙丹妮 、 王菁 、 柯蓝,最好 朋友  人物二  龙丹妮  人物一  柯蓝,1
TRAIN_SENT_ID_268057,樊梨花,薛丁山,\ 《 薛丁山 与 樊梨花 》,人物二 人物一,1
TRAIN_SENT_ID_253671,沈浪,朱七七,只 可惜 朱七七 遇 沈浪 在 先 ， 这情 若定 ， 又 哪里 还有 更改 呢 ？,可惜 人物二 遇 人物一 先  这情 若定  更改,1
TRAIN_SENT_ID_253647,沈浪,朱七七,朱七七 幽幽 叹 道 ： “ 最 了解 白飞飞 的 ， 毕竟 还是 沈浪 。 ”,人物二 幽幽 叹 道   了解 白飞飞  毕竟 人物一,1
TRAIN_SENT_ID_252307,文姜,鲁桓公,鲁桓公 文姜,人物二 人物一,1
TRAIN_SENT_ID_249961,张无忌,赵敏,最后 ， 张无忌 辞退 教主 之位 ， 与 赵敏 退隐 江湖 。,最后  人物一 辞退 教主 之位  人物二 退隐 江湖,1
TRAIN_SENT_ID_256143,蒋介石,宋美龄,宋美龄 为 蒋介石 祈祷 上帝,人物二 人物一 祈祷 上帝,1
TRAIN_SENT_ID_267540,慕容令,慕容垂,慕容垂 同意 了 ， 命 慕容令 断后 。,人物二 同意  命 人物一 断后,-1
TRAIN_SENT_ID_264176,刘备,孙尚香,29 ： 刘氏 夫妻 刘备 孙尚香,刘氏 夫妻 人物一 人物二,1
TRAIN_SENT_ID_252132,黄毅清,黄奕,稍晚 ， 黄毅清 也 在 微博 转贴 黄奕 工作室 发声明 的 新闻 ， 并 撂 狠话 “ 看来 是 逼 着 我 要 曝光 所有 证据 了 。,稍晚  人物一 微博 转贴 人物二 工作室 发声明 新闻  撂 狠话  看来 逼 曝光 证据,1
TRAIN_SENT_ID_287140,李孝伯,李曾,（ 北魏 教授 ） : 李曾 ， 赵郡 平棘 人 也 ， 李孝伯 之 父 。,北魏 教授   人物二  赵郡 平棘  人物一 父,-1
TRAIN_SENT_ID_272816,谢烨,顾城,情书 : 顾城 和 谢烨 。,情书  人物二 人物一,1
