sent_id,entity1,entity2,sent,processed_sent,label,sent_id.1
TRAIN_SENT_ID_285709,翁家明,俞小凡,1996 年 《 聊斋 I 》 李应 / 八爪 鱼 钱小豪 、 杨丽菁 、 罗嘉良 、 俞小凡 、 翁家明,年  聊斋   李应  八爪 鱼 钱小豪  杨丽菁  罗嘉良  人物二  人物一,1,
TRAIN_SENT_ID_277228,张茜,张卫健,09 . 我要 轻闲 ( 鹿鼎记 / 小宝 与 康熙 插曲 ) _ 张卫健 张茜,我要 轻闲  鹿鼎记  小宝 康熙 插曲   人物二 人物一,1,
TRAIN_SENT_ID_278393,林晓峰,康子妮,陈奕迅 、 梁荣忠 、 林晓峰 、 康子妮 、 阮小仪 、 ILoveYouBoyz,陈奕迅  梁荣忠  人物一  人物二  阮小仪,1,
TRAIN_SENT_ID_271712,石厚,石碏,而 此前 石碏 已 把 一封 血书 送到 陈国 ， 请求 陈桓公 将州吁 和 石厚 处死 。,此前 人物二 一封 血书 送到 陈国  请求 陈桓公 将州吁 人物一 处死,-1,
TRAIN_SENT_ID_273965,白素,卫斯理,有 很多 人 喜欢 理智 、 机警 的 白素 ， 而 对 冲动 鲁莽 的 卫斯理 很 不 满意 。,很多 喜欢 理智  机警 人物一  冲动 鲁莽 人物二 满意,1,
TRAIN_SENT_ID_276302,岳灵珊,林平之,岳灵珊 和 林平之,人物一 人物二,1,
TRAIN_SENT_ID_269300,陆雪琪,张小凡,诛仙 2 主题曲 为 张小凡 《 为 爱成 神 》 、 碧瑶 《 爱 的 时间 》 、 陆雪琪 《 等待 的 沉默 》 。,诛仙  主题曲 人物二  爱成 神   碧瑶  爱 时间   人物一  等待 沉默,1,
TRAIN_SENT_ID_273094,杨铁心,包惜弱,包惜弱 要求 与 杨铁心 团圆 ， 王爷 完颜洪烈 假意 应允 ， 暗中 却 派 人 杀害 杨铁心 。,人物二 要求 人物一 团圆  王爷 完颜洪烈 假意 应允  暗中 派 杀害 人物一,1,
TRAIN_SENT_ID_265044,李铭顺,范文芳,李铭顺 和 范文芳,人物一 人物二,1,
TRAIN_SENT_ID_276182,苏蕙,窦滔,关于 《 璇玑 图 》 制作 的 年代 ， 武则天 《 序 》 中有述 ， 窦滔 将 镇 岐阳时 苏蕙 为 二十一岁 。,璇玑 图  制作 年代  武则天  序  中有述  人物二 镇 岐阳时 人物一 二十一岁,1,
TRAIN_SENT_ID_274663,傅敏,傅雷,书籍 ： 《 傅雷 家书 》 / 傅敏 .,书籍   人物二 家书   人物一,-1,
TRAIN_SENT_ID_267994,樊梨花,薛丁山,祸乱 平息 ， 薛丁山 受封 ， 世袭 平辽王 ， 而 樊梨花 亦 被 册封 为 卫国 夫人 。,祸乱 平息  人物二 受封  世袭 平辽王  人物一 册封 卫国 夫人,1,
TRAIN_SENT_ID_274837,金思恩,李晟敏,李晟敏 金思恩 ( 11 张 ),人物二 人物一   张,1,
TRAIN_SENT_ID_285836,李在龙,柳好贞,1994 年 － SBS 作别 ( 合演 ： 孙畅 敏 柳好贞 李在龙 ),年   作别  合演  孙畅 敏 人物二 人物一,1,
TRAIN_SENT_ID_261951,安雯,苏越,李 律师 称 ， 苏越 也 几次 托 他 给 安雯 带 话 ， 不 希望 她 这样 辛劳 地替 他 赚钱 还债 。,李 律师 称  人物二 几次 托 人物一 带 话  希望 辛劳 地替 赚钱 还债,1,
TRAIN_SENT_ID_268524,潘金莲,武大郎,影片 从 潘金莲 竹叉 挑帘 误击 西门庆 、 奸夫淫妇 毒死 武大郎 开始 ， 至 西门庆 纵欲 而 死 结束 。,影片 人物一 竹叉 挑帘 误击 西门庆  奸夫淫妇 毒死 人物二  西门庆 纵欲 死 结束,1,
TRAIN_SENT_ID_260295,穆桂英,杨宗保,赵飞 去 了 穆柯寨 阻止 了 穆桂英 去 送 降龙木 ， 他 说 等 天波府 的 人来 了 再 送走 降龙木 ， 到时候 杨宗保 就 有救 了 。,赵飞 穆柯寨 阻止 人物一 送 降龙木  说 天波府 人来 送走 降龙木  到时候 人物二 有救,1,
TRAIN_SENT_ID_275078,朱七七,沈浪,沈浪 对 朱七七 的 情,人物二 人物一 情,1,
TRAIN_SENT_ID_272576,贾蓉,秦可卿,金陵 十二钗 图册 判词 秦可卿 : 金陵 十二钗 之一 ， 贾蓉 之妻 。,金陵 十二钗 图册 判词 人物二  金陵 十二钗  人物一 之妻,1,
TRAIN_SENT_ID_260551,严嵩,严世蕃,严嵩 倒台 、 严世蕃 伏法 后 ， 徐养正 才 起 为 南京 通政使 司右 参议 ， 历任 通政使 司右 通政 、 南京 光 禄寺卿 。,人物一 倒台  人物二 伏法  徐养正 南京 通政使 司右 参议  历任 通政使 司右 通政  南京 光 禄寺卿,-1,
TRAIN_SENT_ID_276066,陈三立,陈宝箴,陈宝箴 死得 悲壮 ， 陈三立 誓死 不当 亡国奴 ， 拒食 、 拒药 ， 以 八十五岁 高龄 殉国 ， 更教人 悲愤 难当 。,人物二 死得 悲壮  人物一 誓死 不当 亡国奴  拒食  拒药  八十五岁 高龄 殉国  更教人 悲愤 难当,-1,
TRAIN_SENT_ID_272703,毛岸青,杨开慧,不久 ， 上海 党组织 杨开慧 被 破坏 ， 和 弟弟 毛岸青 、 毛岸龙 曾一度 流落 街头 。,不久  上海 党组织 人物二 破坏  弟弟 人物一  毛岸龙 曾一度 流落 街头,-1,
TRAIN_SENT_ID_277799,晋陵公主,谢混,晋陵公主 惊奇 地 看到 ， 谢家 经历 了 多年 离乱 之后 ， 房屋 如新 ， 粮仓 满满 ， 土地 比 过去 谢混 在 的 时候 还要 多 。,人物一 惊奇 看到  谢家 经历 多年 离乱 之后  房屋 如新  粮仓 满满  土地 过去 人物二,1,
TRAIN_SENT_ID_263230,胡亥,秦始皇,因此 号召 了 无数 魔鬼 回到 凡间 ， 成魔后 的 秦始皇 变本加厉 ， 不但 将 前朝 将士 变为 兵马俑 僵尸 ， 还 企图 帮助 胡亥 夺取 中原 重建 秦朝 。,号召 无数 魔鬼 回到 凡间  成魔后 人物二 变本加厉  前朝 将士 变为 兵马俑 僵尸  企图 帮助 人物一 夺取 中原 重建 秦朝,-1,
TRAIN_SENT_ID_272107,张翠山,殷素素,张翠山 、 殷素素 一家 与 金毛狮 王 谢逊 在 冰火 岛 生活 了 十几年 后 返回 中原 ， 与 此 开始 了 整部 剧 的 主要 内容 。,人物一  人物二 一家 金毛狮 王 谢逊 冰火 岛 生活 十几年 返回 中原  整部 剧 主要 内容,1,
TRAIN_SENT_ID_271361,何泽慧,钱三强,《 钱三强 与 何泽慧 》 ， 由 作家 祁淑英 2009 年 1 月 出版 。,人物二 人物一   作家 祁淑英  年  月 出版,1,
TRAIN_SENT_ID_268427,秦始皇,扶苏,是 秦始皇 第十八 子 ， 公子 扶苏 的 弟弟 ， 从中 车府 令 赵高 学习 狱法 。,人物一 第十八 子  公子 人物二 弟弟  从中 车府 令 赵高 学习 狱法,-1,
TRAIN_SENT_ID_283734,刘德成,刘铁男,刘德成 在 加拿大 时 ， 曾 被 刘铁男 安排 宁波 中 金 石化 董事长 孙永根 照顾 他 。,人物一 加拿大 时  人物二 安排 宁波 中 金 石化 董事长 孙永根 照顾,-1,
TRAIN_SENT_ID_271668,陆乘风,陆冠英,是 太湖 群雄 之 首 陆乘风 的 修身 之 所 ， 少 庄主 为 陆冠英 。,太湖 群雄 首 人物一 修身  少 庄主 人物二,-1,
TRAIN_SENT_ID_277373,樊姬,楚庄王,1 历史 : 樊姬 系 楚庄王 宠妃 。,历史  人物一 系 人物二 宠妃,1,
TRAIN_SENT_ID_286034,蒋英,蒋百里,钱均夫 蒋英 （ 媳 ） : 蒋英 （ 1919.9 . 7 ～ 2012.02 . 05 ） 教授 ， 蒋英 是 大 军事家 蒋 方震 ( 蒋百里 ) 的 三 女儿 。,钱均夫 人物一  媳   人物一          教授  人物一 军事家 蒋 方震  人物二  三 女儿,-1,
TRAIN_SENT_ID_265943,杨绛,钱钟书,有 志同道合 、 相濡以沫 ， 如 孙中山 与 宋庆龄 、 冰心 与 吴文藻 、 钱钟书 与 杨绛 … …,志同道合  相濡以沫  孙中山 宋庆龄  冰心 吴文藻  人物二 人物一,1,
TRAIN_SENT_ID_259459,贾兰,李纨,红楼梦 之 十二金钗 李纨 : 李纨 第一天 去 稻香村 ， 看到 李纨 和 贾兰 出去 。,红楼梦 十二金钗 人物二  人物二 第一天 稻香村  看到 人物二 人物一 出去,-1,
TRAIN_SENT_ID_249858,张无忌,赵敏,周芷若 大彻大悟 ， 最终 自尽 于 张无忌 、 赵敏 面前 ， 张无忌 亦 禅让 明教 教主 之 位于 杨逍 ， 与 赵敏 浪迹江湖 。,周芷若 大彻大悟  最终 自尽 人物一  人物二 面前  人物一 禅让 明教 教主 位于 杨逍  人物二 浪迹江湖,1,
TRAIN_SENT_ID_273356,秦香莲,陈世美,陈世美 不认 秦香莲 — — 喜新厌旧,人物二 不认 人物一   喜新厌旧,1,
TRAIN_SENT_ID_279227,叶开,白天羽,随后 马空群 带 叶开 来到 他 的 结拜 义兄 白天羽 墓前 ， 谈话 中 他 让 叶开 离开 边城 ， 遭到 叶开 的 拒绝 。,马空群 带 人物一 来到 结拜 义兄 人物二 墓前  谈话 中 人物一 离开 边城  遭到 人物一 拒绝,-1,
TRAIN_SENT_ID_274202,岳雷,岳飞,梁红玉 救岳 故事 内容 : 南宋 民族英雄 岳飞 在 风波 亭 被害 后 ， 秦桧 派 抄斩 岳飞 全家 ， 岳雷 闻讯 逃跑 。,梁红玉 救岳 故事 内容  南宋 民族英雄 人物二 风波 亭 被害  秦桧 派 抄斩 人物二 全家  人物一 闻讯 逃跑,-1,
TRAIN_SENT_ID_281448,曾雅兰,侯昌明,08.18 傅天颖 家务事 大家 帮帮忙 （ 傅天颖 、 曾雅兰 、 侯昌明 、 沛小岚 、 陈萍 、 余皓然 ）,傅天颖 家务事 帮帮忙  傅天颖  人物一  人物二  沛小岚  陈萍  余皓然,1,
TRAIN_SENT_ID_261306,朱兆祥,胡静,胡静 和 朱兆祥 的 任务 似乎 有些 困难 ： 用 5 美元 来到 古兰 尼 牧场 拍摄 基地 ， 再 购买 门票 进去 参观 。,人物二 人物一 任务 似乎 困难   美元 来到 古兰 尼 牧场 拍摄 基地  购买 门票 进去 参观,1,
TRAIN_SENT_ID_261039,岳不群,岳灵珊,后来 林平之 因为 和 岳家 的 误会 刺伤 了 岳灵珊 ， 这 本来 就 不是 岳不群 能 想到 能 控制 的 。,后来 林平之 岳家 误会 刺伤 人物二  本来 人物一 想到 控制,-1,
TRAIN_SENT_ID_275326,潘巧云,杨雄,石秀 投奔 梁山 : 正当 杨雄 、 石秀 杀 了 潘巧云 后 商量 上 梁山 时 ， 时迁 正好 在 一旁 目击 了 全部 过程 ， 时迁 要求 同 上 梁山 。,石秀 投奔 梁山  正当 人物二  石秀 杀 人物一 商量 梁山 时  时迁 正好 一旁 目击 过程  时迁 要求 梁山,1,
TRAIN_SENT_ID_277377,樊姬,楚庄王,而且 宫中 只有 女人 ， 不知 是否 有象 樊姬 待 楚庄王 那样 贤惠 的 呢 ？ ”,宫中 女人  不知 是否 有象 人物一 人物二 贤惠,1,
TRAIN_SENT_ID_273960,白素,卫斯理,白素 女婿 曹金 福 : 将来 可能 是 卫斯理 的 女婿 。,人物一 女婿 曹金 福  将来 可能 人物二 女婿,1,
TRAIN_SENT_ID_254177,邢夫人,贾赦,《 红楼梦 》 第四 六 回 ： “ 凤姐 知道 邢夫人 禀性 愚弱 ， 只知 奉承 贾赦 以 自保 。 ”,红楼梦  第四 六 回   凤姐 知道 人物一 禀性 愚弱  只知 奉承 人物二 自保,1,
TRAIN_SENT_ID_256136,蒋介石,宋美龄,西安事变 后 ， 张学良 护送 蒋介石 、 宋美龄 、 宋子文 一行 返回 南京 ， 一下 飞机 ， 蒋即 背信弃义 ， 囚禁 张学良 。,西安事变  张学良 护送 人物一  人物二  宋子文 一行 返回 南京  一下 飞机  蒋即 背信弃义  囚禁 张学良,1,
TRAIN_SENT_ID_258677,刘禅,刘备,自称 是 刘备 — — 刘禅 — — 刘谌 — — 刘豪 之后 。,自称 人物二   人物一   刘谌   刘豪 之后,-1,
TRAIN_SENT_ID_275401,谭嗣同,谭继洵,及至 谭嗣同 以 主张 变法 得入 军机 ， 谭继洵 又 疏荐 宋育仁 为 人才 ， 但 奏 入时 已 发生 政变 。,人物一 主张 变法 得入 军机  人物二 疏荐 宋育仁 人才  奏 入时 发生 政变,-1,
TRAIN_SENT_ID_265530,周萍,周朴园,周家 ： 周朴园 ， 蘩 漪 、 周萍 、 周冲,周家  人物二  蘩 漪  人物一  周冲,-1,
TRAIN_SENT_ID_286432,颜泉明,颜杲卿,到 了 太原 ， 节度使 王承业 留下 了 颜泉明 、 贾深 等 人 ， 扣下 了 颜杲卿 的 表状 ， 自己 呈递 表章 献上 叛将 ， 当作 自己 的 功劳 。,太原  节度使 王承业 留下 人物一  贾深  扣下 人物二 表状  呈递 表章 献上 叛将  当作 功劳,-1,
TRAIN_SENT_ID_286814,戴若男,戴天理,戴若男 ， 电视剧 《 打狗棍 》 中 角色 ， 热河人 ， 戴天理 和秀儿 的 亲生女儿 ， 从小 被 娇惯 。,人物一  电视剧  打狗棍  中 角色  热河人  人物二 和秀儿 亲生女儿  从小 娇惯,-1,
TRAIN_SENT_ID_271973,林丹,谢杏芳,歌曲 主唱 者 古天乐 、 羽泉 以及 参与 MV 制作 的 李小鹏 、 李永波 、 林丹 、 谢杏芳 均 表达 了 对 这支 歌曲 的 感受 。,歌曲 主唱 古天乐  羽泉 参与  制作 李小鹏  李永波  人物一  人物二 均 表达 这支 歌曲 感受,1,
TRAIN_SENT_ID_265186,尤二姐,贾琏,尤二姐 对 贾琏 的 轻信 导致 了 她 错误 地 托付 一生 ， 对 王熙凤 的 轻信 导致 了 她 身陷 危境 而 不 自知 。,人物一 人物二 轻信 导致 错误 托付 一生  王熙凤 轻信 导致 身陷 危境 自知,1,
TRAIN_SENT_ID_273212,秦香莲,陈世美,幼年 陈世美 — — 王锐 幼年 秦香莲 — — 陈宁 莎,幼年 人物二   王锐 幼年 人物一   陈宁 莎,1,
TRAIN_SENT_ID_258064,周海婴,鲁迅,最高人民法院 关于 周海婴 诉 绍兴 越王 珠宝 金行 侵犯 鲁迅 肖像权 一案 应否 受理 的 答复 意见 ( 2000 ． 6 ． 26 ) ( 495 ),最高人民法院 人物一 诉 绍兴 越王 珠宝 金行 侵犯 人物二 肖像权 一案 应否 受理 答复 意见   ．  ．,-1,
TRAIN_SENT_ID_257986,夏东海,刘梅,因为 夏东海 继续 做 甩手掌柜 ， 刘梅 也 将 继续 当 她 的 家庭教育 “ 排头兵 ” ， 不厌其烦 地 约束 孩子 们 的 举动 ， 却 总是 收效甚微 。,人物一 继续 做 甩手掌柜  人物二 继续 家庭教育  排头兵   不厌其烦 约束 孩子 举动  总是 收效甚微,1,
TRAIN_SENT_ID_277410,贾午,郭槐,然而 郭槐 过世 后 ， 贾南风 仍然 宠信 贾午 与 赵粲 ， 三人 并且 计划 废杀 司马遹 。,人物二 过世  贾南风 仍然 宠信 人物一 赵粲  三人 计划 废杀 司马遹,-1,
TRAIN_SENT_ID_268574,潘金莲,武大郎,其嫂 潘金莲 与 西门庆 通奸 ， 毒死 武大郎 ， 武松 杀死 潘 、 西门 后 自首 ， 发配 孟州 。,其嫂 人物一 西门庆 通奸  毒死 人物二  武松 杀死 潘  西门 自首  发配 孟州,1,
TRAIN_SENT_ID_265992,杨绛,钱钟书,钱钟书 与 杨绛 的 清缘,人物二 人物一 清缘,1,
TRAIN_SENT_ID_272133,张翠山,殷素素,张翠山 全身 发抖 ， 目光 中如要 喷出 火来 ， 指着 殷素素 道 ： “ 你 … …,人物一 全身 发抖  目光 中如要 喷出 火来  指着 人物二 道,1,
TRAIN_SENT_ID_273557,殷素素,张翠山,张翠山 从 殷素素 手中 接过 长剑 ， 对准 熊头 ， 运劲 摔 将 下去 。,人物二 人物一 手中 接过 长剑  对准 熊头  运劲 摔 下去,1,
TRAIN_SENT_ID_281547,李锐,蒋韵,李锐 蒋韵 用 方块字 深刻 表达 臼己,人物一 人物二 方块字 深刻 表达 臼己,1,
TRAIN_SENT_ID_275112,朱七七,沈浪,沈浪 与 白飞飞 前去 探望 朱七七 ， 熊猫儿 热情 挽留 沈 留下来 喝酒 。,人物二 白飞飞 前去 探望 人物一  熊猫儿 热情 挽留 沈 留下来 喝酒,1,
TRAIN_SENT_ID_258965,王熙凤,贾琏,值得注意 的 是 ， 悄悄 对 贾琏 揭露 害死 尤二姐 的 主谋 是 王熙凤 的 ， 正是 与 王熙凤 似乎 有些 暧昧关系 的 贾蓉 ！,值得注意  悄悄 人物二 揭露 害死 尤二姐 主谋 人物一  人物一 似乎 暧昧关系 贾蓉,1,
TRAIN_SENT_ID_257282,金蛇郎君,温仪,金蛇郎君 送 温仪 回家 。,人物一 送 人物二 回家,1,
TRAIN_SENT_ID_270354,关平,关羽,武将 ： 关羽 、 张飞 、 赵云 、 马超 、 黄忠 、 魏延 、 关平 、 关兴 、 张苞 、 陈到 、 李严 、 姜维 、 马岱 ......,武将  人物二  张飞  赵云  马超  黄忠  魏延  人物一  关兴  张苞  陈到  李严  姜维  马岱,-1,
TRAIN_SENT_ID_254086,霍启刚,郭晶晶,2006 年 12 月 ： 郭晶晶 出征 多哈 亚运会 ， 霍启刚 与其 异国 密 会 ， 阿拉伯 装 情侣 照曝光 ；,年  月  人物二 出征 多哈 亚运会  人物一 异国 密 会  阿拉伯 装 情侣 照曝光,1,
TRAIN_SENT_ID_262997,熊美玲,林秋离,No.201 悬崖 边缘 林秋离 熊美玲 叶欢,悬崖 边缘 人物二 人物一 叶欢,1,
TRAIN_SENT_ID_259245,刘备,刘禅,李严 武将 点评 : 李严 是 蜀汉 的 忠臣 ， 刘备 在 白帝城 驾崩 时 ， 曾任 其 与 诸葛亮 同 为 托孤 大臣 ， 辅佐 刘禅 。,李严 武将 点评  李严 蜀汉 忠臣  人物一 白帝城 驾崩 时  曾任 诸葛亮 托孤 大臣  辅佐 人物二,-1,
TRAIN_SENT_ID_283096,吴速玲,曹格,吴速玲 、 曹格 在 《 鲁豫有约 》 节目 中 自述 ， 在 认识 曹格 前 ， 吴速玲 正 处于 前男友 的 劈 腿 分手 痛苦 中 。,人物一  人物二  鲁豫有约  节目 中 自述  认识 人物二 前  人物一 正 处于 前男友 劈 腿 分手 痛苦 中,1,
TRAIN_SENT_ID_278997,林诗音,龙啸云,而 李寻欢 为了 龙啸云 而 抛弃 了 自己 深爱 的 林诗音 。,李寻欢 人物二 抛弃 深爱 人物一,1,
TRAIN_SENT_ID_266918,李钦,李沁遥,李沁遥 人物 简介 : 李沁遥 ， 维和 英雄 李钦 的 女儿 ， 就读于 中国 人民 公安大学 。,人物二 人物 简介  人物二  维和 英雄 人物一 女儿  就读于 中国 人民 公安大学,-1,
TRAIN_SENT_ID_260306,穆桂英,杨宗保,杨宗保 说 要不然 他们 俩 以后 想干什么 就 干什么 ， 不用 管 那么 多 ， 但是 穆桂英 听后 说 自己 就 当 是 入乡随俗 了 。,人物二 说 俩 以后 想干什么 干什么  不用  人物一 听后 说 入乡随俗,1,
TRAIN_SENT_ID_266268,钱学森,蒋英,时间 追溯到 1947 年 ， 蒋英 接受 钱学森 的 求婚 ， 随其 赴美 。,时间 追溯到  年  人物二 接受 人物一 求婚  随其 赴美,1,
TRAIN_SENT_ID_276467,尤氏,贾珍,金陵 十二钗 七副册 银碟 : 《 红楼梦 》 人物 宁国府 贾珍 媳妇 尤氏 的 丫鬟 。,金陵 十二钗 七副册 银碟   红楼梦  人物 宁国府 人物二 媳妇 人物一 丫鬟,1,
